,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,463931.91,21.0,0.28571428600000004,47.0,82.0,0.0,4.99,65.0,4.0,5.0,0.28385644,11468.01,50.45127083,0.46393190999999995,0.0
1,0.0,14586.18,1.0,0.0,61.0,82.0,0.0,297.88,298.0,2.0,1.0,0.235177765,14586.18,143.67044230000002,0.01458618,0.0
2,0.0,144753.27,40.0,0.3,33.0,32.0,0.0,4.44,116.0,5.0,12.0,0.304276186,11596.63,2429.028432,0.14475327,0.0
3,0.0,4732.95,2.0,0.5,68.0,33.0,0.0,44.66,134.0,1.0,1.0,0.41939478399999996,16.4,6.90771729,0.00473295,0.0
4,0.0,1038567.6,332.0,0.292168675,45.0,32.0,0.0,0.54,91.0,2.0,2.0,0.169427045,38591.11,369.8808828,1.0385676,0.0
5,1.0,2235430.87,1.0,0.0,0.0,82.0,0.0,216.24,433.0,1.0,1.0,0.547440511,2235430.87,261.1553082,2.23543087,0.0
6,0.0,596304.26,191.0,0.277486911,63.0,32.0,0.0,1.02,103.0,2.0,15.0,0.174038437,9567.74,18946.20588,0.59630426,0.0
7,0.0,379912.22,7.0,0.428571429,61.0,166.0,0.0,34.52,208.0,1.0,3.0,0.32944991100000004,8342.23,303.1944102,0.37991221999999997,0.0
8,0.0,93100.55,1.0,1.0,82.0,186.0,0.0,98.5,99.0,3.0,1.0,0.17240473399999998,7412.7,0.0,0.09310055,0.0
9,0.0,118.42,3.0,0.333333333,18.0,186.0,0.0,22.6,68.0,3.0,1.0,0.37033735799999995,108.08,0.0031377109999999996,0.00011842000000000001,0.0
10,1.0,59022.64,42.0,0.404761905,0.0,90.0,0.0,3.75,72.0,1.0,7.0,0.956756367,15858.31,0.145141713,0.05902264,0.0
11,0.0,299792.95,1.0,0.0,30.0,125.0,0.0,23.22,24.0,2.0,1.0,0.45029112600000004,299792.95,943.6147537999999,0.29979295,0.0
12,1.0,3024370.4,3.0,1.0,0.0,82.0,0.0,53.14,213.0,2.0,1.0,0.790941023,3464.13,0.0,3.0243704,0.0
13,1.0,1207753.58,60.0,0.35,0.0,32.0,0.0,3.32,103.0,1.0,7.0,0.10167242800000001,2540.1,187.96070880000002,1.20775358,0.0
14,1.0,3114514.12,2.0,0.5,0.0,123.0,0.0,12.71,26.0,2.0,1.0,0.110483489,121330.89,287.1512301,3.11451412,0.0
15,2.0,2601074515.0,2.0,0.5,0.0,32.0,0.0,55.87,112.0,2.0,1.0,0.10875480900000001,162772939.0,8914471.264,2601.074515,0.0
16,0.0,381016.88,1.0,1.0,59.0,90.0,0.0,164.95,330.0,1.0,1.0,0.156727335,91.8,0.0,0.38101688,0.0
17,0.0,750494.05,1.0,0.0,60.0,186.0,0.0,76.95,154.0,4.0,1.0,0.433707089,0.0,497.9818165,0.75049405,0.0
18,1.0,2917819.64,2.0,0.5,0.0,82.0,0.0,42.33,85.0,1.0,1.0,0.127245589,195159.79,2278.971283,2.9178196400000003,0.0
19,1.0,2924704.54,4.0,0.5,0.0,166.0,0.0,44.96,180.0,4.0,1.0,0.541325854,197745.27,46224.13673,2.92470454,0.0
20,0.0,22336.11,1.0,0.0,33.0,32.0,0.0,165.74,332.0,1.0,1.0,0.108521761,22336.11,241.46252090000002,0.02233611,0.0
21,0.0,47376.75,52.0,0.288461538,44.0,186.0,0.0,4.24,98.0,2.0,7.0,0.23628928300000002,4508.56,0.04685658400000001,0.04737675,0.0
22,2.0,459625204.4,52.0,0.346153846,0.0,125.0,0.0,3.39,95.0,3.0,52.0,0.064323508,1831.93,150604.7871,459.6252044,0.0
23,0.0,255520.12,279.0,0.326164875,29.0,123.0,0.0,0.66,86.0,2.0,7.0,0.188146222,4507.93,81.60823539,0.25552012,0.0
24,1.0,25782.95,8.0,0.5,0.0,123.0,0.0,21.78,88.0,2.0,2.0,0.164894238,628.46,44.15028738,0.025782950000000002,0.0
25,0.0,636593.88,2.0,0.0,53.0,123.0,0.0,57.63,58.0,1.0,1.0,0.129332413,0.0,3148.902706,0.6365938800000001,0.0
26,0.0,1514461.56,48.0,0.3125,61.0,82.0,0.0,4.11,99.0,4.0,6.0,0.06398306299999999,189541.35,4070.6688700000004,1.51446156,0.0
27,0.0,309116.26,1.0,1.0,14.0,123.0,0.0,123.24,124.0,2.0,1.0,0.242238537,782.58,0.0,0.30911626000000003,0.0
28,0.0,57123.95,2.0,0.5,32.0,32.0,0.0,43.15,87.0,2.0,2.0,0.226227276,30262.67,42.39664788,0.05712395,0.0
29,0.0,434583.62,2.0,0.0,20.0,82.0,0.0,80.25,161.0,1.0,1.0,0.105006744,434583.62,124.9870539,0.43458362,0.0
30,0.0,33.79,20.0,0.45,76.0,90.0,0.0,7.39,97.0,2.0,3.0,0.31820126600000004,27.73,0.020268267,3.379e-05,0.0
31,0.0,5064.27,2.0,0.0,15.0,123.0,0.0,61.16,123.0,1.0,1.0,0.429956754,5064.27,15.82282012,0.00506427,0.0
32,0.0,4776014.38,10.0,0.1,48.0,90.0,0.0,13.38,94.0,2.0,4.0,0.04333974,18978.54,66085.5019,4.7760143799999994,0.0
33,0.0,558954.04,1.0,0.0,33.0,166.0,0.0,145.48,291.0,1.0,1.0,0.81877449,558954.04,2114.806909,0.55895404,0.0
34,1.0,133.64,59.0,0.372881356,0.0,123.0,0.0,3.2,97.0,2.0,16.0,0.130044724,69.7,0.037268618999999996,0.00013363999999999997,0.0
35,0.0,1795511.68,10.0,0.3,46.0,82.0,0.0,15.97,64.0,4.0,3.0,0.262093987,373729.79,17769.5031,1.79551168,0.0
36,1.0,3322.29,2.0,0.5,0.0,90.0,0.0,63.74,128.0,1.0,1.0,0.68027828,420.33,8.878238275,0.00332229,0.0
37,1.0,167442.5,4.0,0.75,0.0,33.0,0.0,65.3,131.0,3.0,2.0,0.262383463,23854.63,1.675118846,0.1674425,0.0
38,0.0,6620418.36,3.0,0.333333333,38.0,32.0,0.0,16.23,65.0,2.0,1.0,0.23010947,88.86,14550.20261,6.62041836,0.0
39,2.0,12207184.36,6.0,0.5,0.0,32.0,0.0,21.15,64.0,3.0,1.0,0.259440872,0.07,126653.0846,12.20718436,0.0
40,0.0,2883.39,28.0,0.39285714299999996,44.0,123.0,0.0,6.26,88.0,1.0,7.0,0.258397367,104.15,0.805528189,0.00288339,0.0
41,1.0,3499621.21,1.0,0.0,0.0,125.0,0.0,48.69,49.0,6.0,1.0,0.6083505060000001,0.0,34964.85567,3.49962121,0.0
42,0.0,7091.44,5.0,0.4,35.0,90.0,0.0,36.12,217.0,3.0,1.0,0.036002433,241.78,14.61572647,0.007091439999999999,0.0
43,2.0,40637156.47,54.0,0.40740740700000005,0.0,82.0,0.0,2.76,70.0,1.0,14.0,0.07736472900000001,82383.75,219406.1968,40.63715647,0.0
44,0.0,291975.68,41.0,0.219512195,27.0,32.0,0.0,4.05,90.0,2.0,2.0,0.191531275,1829.98,11.07353538,0.29197568,0.0
45,0.0,2262825.82,10.0,0.3,25.0,123.0,0.0,18.73,57.0,3.0,1.0,0.17389488,119276.68,12481.92749,2.2628258199999998,0.0
46,0.0,1604306.73,1.0,1.0,63.0,90.0,0.0,31.9,64.0,2.0,1.0,0.07357015900000001,1.89,0.0,1.60430673,0.0
47,1.0,1491912.09,1.0,0.0,0.0,32.0,0.0,91.49,92.0,1.0,1.0,0.318905602,0.0,198.2996398,1.49191209,0.0
48,0.0,552994.78,34.0,0.294117647,52.0,32.0,0.0,6.09,110.0,4.0,7.0,0.147032526,2550.08,85.00270199,0.55299478,0.0
49,0.0,347405.35,2.0,0.5,57.0,125.0,0.0,13.09,14.0,2.0,1.0,0.069885271,75.72,51.66546743,0.34740535,0.0
50,0.0,339693.67,12.0,0.166666667,70.0,123.0,0.0,13.8,56.0,1.0,1.0,0.006917380999999999,9404.35,897.7807123,0.33969367,0.0
51,0.0,698239.96,1.0,0.0,23.0,90.0,0.0,10.58,22.0,3.0,1.0,0.31220917600000003,0.0,308.03189039999995,0.69823996,0.0
52,1.0,374427.64,86.0,0.395348837,0.0,166.0,0.0,2.26,102.0,1.0,18.0,0.47560531,2681.7,180.6965627,0.37442764,0.0
53,2.0,1046394.39,1.0,1.0,0.0,186.0,0.0,192.36,193.0,4.0,1.0,0.153413721,656.89,0.0,1.0463943900000001,0.0
54,0.0,393234.52,3.0,0.333333333,20.0,125.0,0.0,31.59,95.0,2.0,1.0,0.050632444000000006,4184.84,554.4679147999999,0.39323452000000003,0.0
55,0.0,81880.8,1.0,1.0,43.0,186.0,0.0,9.82,20.0,2.0,1.0,0.122353188,1492.94,0.0,0.0818808,0.0
56,2.0,2091207.52,2.0,1.0,0.0,90.0,0.0,41.74,84.0,1.0,1.0,0.267930238,17789.16,0.0,2.09120752,0.0
57,0.0,418869.92,127.0,0.275590551,40.0,82.0,0.0,1.64,110.0,1.0,10.0,0.44044615,25167.25,48.64935172,0.41886992,0.0
58,2.0,19031267.63,3.0,0.666666667,0.0,82.0,0.0,42.19,85.0,2.0,1.0,0.15848015199999999,0.0,71871.58321,19.03126763,0.0
59,0.0,511196.24,1.0,0.0,33.0,32.0,0.0,51.72,104.0,3.0,1.0,0.180569377,511196.24,598.2758835,0.51119624,0.0
60,1.0,30891120.7,3.0,0.666666667,0.0,32.0,0.0,40.53,82.0,3.0,1.0,0.271438737,64955.68,33986.46617,30.8911207,0.0
61,0.0,910992.26,7.0,0.28571428600000004,14.0,90.0,0.0,27.48,110.0,1.0,1.0,0.050549767999999995,13958.39,13822.37242,0.91099226,0.0
62,0.0,781.38,1.0,1.0,19.0,32.0,0.0,290.44,581.0,1.0,1.0,0.5370767479999999,165.61,0.0,0.00078138,0.0
63,2.0,4239179.02,74.0,0.391891892,0.0,123.0,0.0,2.2,78.0,3.0,36.0,0.23444654,123177.86,2321.484306,4.23917902,0.0
64,0.0,48704.33,3.0,0.666666667,56.0,32.0,0.0,30.07,61.0,1.0,1.0,0.30235659800000003,14320.51,72.01804858,0.048704330000000004,0.0
65,0.0,447208.47,1.0,0.0,72.0,125.0,0.0,85.64,86.0,2.0,1.0,0.049315887,447208.47,505.6008716,0.44720846999999997,0.0
66,0.0,723045.68,49.0,0.346938776,21.0,125.0,0.0,3.63,99.0,2.0,7.0,0.338895926,40290.47,134.47842130000004,0.72304568,0.0
67,0.0,69546.57,2.0,0.0,64.0,32.0,0.0,40.25,121.0,1.0,1.0,0.407915465,0.0,854.5323617999999,0.06954657,0.0
68,1.0,1933102.63,4.0,0.5,0.0,90.0,0.0,26.5,107.0,3.0,2.0,0.41619613200000005,57.81,3715.6720170000003,1.9331026299999998,0.0
69,0.0,304.39,1.0,1.0,55.0,186.0,0.0,101.24,102.0,1.0,1.0,0.270889624,88.94,0.0,0.00030439,0.0
70,0.0,87673.1,1.0,1.0,69.0,90.0,0.0,52.89,106.0,2.0,1.0,0.433473331,4714.57,0.0,0.0876731,0.0
71,0.0,276799.18,1.0,0.0,42.0,186.0,0.0,4.85,10.0,3.0,1.0,0.18017819399999999,276799.18,86.5871939,0.27679918,0.0
