feature,freaturea,featureb,feaurec,featured,featuref,featureg,featureh,featurei,featurej,featurek,featurel,featurem,featuren,featureo,outcome
0,463931.91,21,0.285714286,47,82,0,4.99,65,4,5,0.28385644,11468.01,50.45127083,0.46393191,0
0,14586.18,1,0,61,82,0,297.88,298,2,1,0.235177765,14586.18,143.6704423,0.01458618,0
0,144753.27,40,0.3,33,32,0,4.44,116,5,12,0.304276186,11596.63,2429.028432,0.14475327,0
0,4732.95,2,0.5,68,33,0,44.66,134,1,1,0.419394784,16.4,6.90771729,0.00473295,0
0,1038567.6,332,0.292168675,45,32,0,0.54,91,2,2,0.169427045,38591.11,369.8808828,1.0385676,0
1,2235430.87,1,0,0,82,0,216.24,433,1,1,0.547440511,2235430.87,261.1553082,2.23543087,0
0,596304.26,191,0.277486911,63,32,0,1.02,103,2,15,0.174038437,9567.74,18946.20588,0.59630426,0
0,379912.22,7,0.428571429,61,166,0,34.52,208,1,3,0.329449911,8342.23,303.1944102,0.37991222,0
0,93100.55,1,1,82,186,0,98.5,99,3,1,0.172404734,7412.7,0,0.09310055,0
0,118.42,3,0.333333333,18,186,0,22.6,68,3,1,0.370337358,108.08,0.003137711,0.00011842,0
1,59022.64,42,0.404761905,0,90,0,3.75,72,1,7,0.956756367,15858.31,0.145141713,0.05902264,0
0,299792.95,1,0,30,125,0,23.22,24,2,1,0.450291126,299792.95,943.6147538,0.29979295,0
1,3024370.4,3,1,0,82,0,53.14,213,2,1,0.790941023,3464.13,0,3.0243704,0
1,1207753.58,60,0.35,0,32,0,3.32,103,1,7,0.101672428,2540.1,187.9607088,1.20775358,0
1,3114514.12,2,0.5,0,123,0,12.71,26,2,1,0.110483489,121330.89,287.1512301,3.11451412,0
2,2601074515,2,0.5,0,32,0,55.87,112,2,1,0.108754809,162772939,8914471.264,2601.074515,0
0,381016.88,1,1,59,90,0,164.95,330,1,1,0.156727335,91.8,0,0.38101688,0
0,750494.05,1,0,60,186,0,76.95,154,4,1,0.433707089,0,497.9818165,0.75049405,0
1,2917819.64,2,0.5,0,82,0,42.33,85,1,1,0.127245589,195159.79,2278.971283,2.91781964,0
1,2924704.54,4,0.5,0,166,0,44.96,180,4,1,0.541325854,197745.27,46224.13673,2.92470454,0
0,22336.11,1,0,33,32,0,165.74,332,1,1,0.108521761,22336.11,241.4625209,0.02233611,0
0,47376.75,52,0.288461538,44,186,0,4.24,98,2,7,0.236289283,4508.56,0.046856584,0.04737675,0
2,459625204.4,52,0.346153846,0,125,0,3.39,95,3,52,0.064323508,1831.93,150604.7871,459.6252044,0
0,255520.12,279,0.326164875,29,123,0,0.66,86,2,7,0.188146222,4507.93,81.60823539,0.25552012,0
1,25782.95,8,0.5,0,123,0,21.78,88,2,2,0.164894238,628.46,44.15028738,0.02578295,0
0,636593.88,2,0,53,123,0,57.63,58,1,1,0.129332413,0,3148.902706,0.63659388,0
0,1514461.56,48,0.3125,61,82,0,4.11,99,4,6,0.063983063,189541.35,4070.66887,1.51446156,0
0,309116.26,1,1,14,123,0,123.24,124,2,1,0.242238537,782.58,0,0.30911626,0
0,57123.95,2,0.5,32,32,0,43.15,87,2,2,0.226227276,30262.67,42.39664788,0.05712395,0
0,434583.62,2,0,20,82,0,80.25,161,1,1,0.105006744,434583.62,124.9870539,0.43458362,0
0,33.79,20,0.45,76,90,0,7.39,97,2,3,0.318201266,27.73,0.020268267,3.379e-05,0
0,5064.27,2,0,15,123,0,61.16,123,1,1,0.429956754,5064.27,15.82282012,0.00506427,0
0,4776014.38,10,0.1,48,90,0,13.38,94,2,4,0.04333974,18978.54,66085.5019,4.77601438,0
0,558954.04,1,0,33,166,0,145.48,291,1,1,0.81877449,558954.04,2114.806909,0.55895404,0
1,133.64,59,0.372881356,0,123,0,3.2,97,2,16,0.130044724,69.7,0.037268619,0.00013364,0
0,1795511.68,10,0.3,46,82,0,15.97,64,4,3,0.262093987,373729.79,17769.5031,1.79551168,0
1,3322.29,2,0.5,0,90,0,63.74,128,1,1,0.68027828,420.33,8.878238275,0.00332229,0
1,167442.5,4,0.75,0,33,0,65.3,131,3,2,0.262383463,23854.63,1.675118846,0.1674425,0
0,6620418.36,3,0.333333333,38,32,0,16.23,65,2,1,0.23010947,88.86,14550.20261,6.62041836,0
2,12207184.36,6,0.5,0,32,0,21.15,64,3,1,0.259440872,0.07,126653.0846,12.20718436,0
0,2883.39,28,0.392857143,44,123,0,6.26,88,1,7,0.258397367,104.15,0.805528189,0.00288339,0
1,3499621.21,1,0,0,125,0,48.69,49,6,1,0.608350506,0,34964.85567,3.49962121,0
0,7091.44,5,0.4,35,90,0,36.12,217,3,1,0.036002433,241.78,14.61572647,0.00709144,0
2,40637156.47,54,0.407407407,0,82,0,2.76,70,1,14,0.077364729,82383.75,219406.1968,40.63715647,0
0,291975.68,41,0.219512195,27,32,0,4.05,90,2,2,0.191531275,1829.98,11.07353538,0.29197568,0
0,2262825.82,10,0.3,25,123,0,18.73,57,3,1,0.17389488,119276.68,12481.92749,2.26282582,0
0,1604306.73,1,1,63,90,0,31.9,64,2,1,0.073570159,1.89,0,1.60430673,0
1,1491912.09,1,0,0,32,0,91.49,92,1,1,0.318905602,0,198.2996398,1.49191209,0
0,552994.78,34,0.294117647,52,32,0,6.09,110,4,7,0.147032526,2550.08,85.00270199,0.55299478,0
0,347405.35,2,0.5,57,125,0,13.09,14,2,1,0.069885271,75.72,51.66546743,0.34740535,0
0,339693.67,12,0.166666667,70,123,0,13.8,56,1,1,0.006917381,9404.35,897.7807123,0.33969367,0
0,698239.96,1,0,23,90,0,10.58,22,3,1,0.312209176,0,308.0318904,0.69823996,0
1,374427.64,86,0.395348837,0,166,0,2.26,102,1,18,0.47560531,2681.7,180.6965627,0.37442764,0
2,1046394.39,1,1,0,186,0,192.36,193,4,1,0.153413721,656.89,0,1.04639439,0
0,393234.52,3,0.333333333,20,125,0,31.59,95,2,1,0.050632444,4184.84,554.4679148,0.39323452,0
0,81880.8,1,1,43,186,0,9.82,20,2,1,0.122353188,1492.94,0,0.0818808,0
2,2091207.52,2,1,0,90,0,41.74,84,1,1,0.267930238,17789.16,0,2.09120752,0
0,418869.92,127,0.275590551,40,82,0,1.64,110,1,10,0.44044615,25167.25,48.64935172,0.41886992,0
2,19031267.63,3,0.666666667,0,82,0,42.19,85,2,1,0.158480152,0,71871.58321,19.03126763,0
0,511196.24,1,0,33,32,0,51.72,104,3,1,0.180569377,511196.24,598.2758835,0.51119624,0
1,30891120.7,3,0.666666667,0,32,0,40.53,82,3,1,0.271438737,64955.68,33986.46617,30.8911207,0
0,910992.26,7,0.285714286,14,90,0,27.48,110,1,1,0.050549768,13958.39,13822.37242,0.91099226,0
0,781.38,1,1,19,32,0,290.44,581,1,1,0.537076748,165.61,0,0.00078138,0
2,4239179.02,74,0.391891892,0,123,0,2.2,78,3,36,0.23444654,123177.86,2321.484306,4.23917902,0
0,48704.33,3,0.666666667,56,32,0,30.07,61,1,1,0.302356598,14320.51,72.01804858,0.04870433,0
0,447208.47,1,0,72,125,0,85.64,86,2,1,0.049315887,447208.47,505.6008716,0.44720847,0
0,723045.68,49,0.346938776,21,125,0,3.63,99,2,7,0.338895926,40290.47,134.4784213,0.72304568,0
0,69546.57,2,0,64,32,0,40.25,121,1,1,0.407915465,0,854.5323618,0.06954657,0
1,1933102.63,4,0.5,0,90,0,26.5,107,3,2,0.416196132,57.81,3715.672017,1.93310263,0
0,304.39,1,1,55,186,0,101.24,102,1,1,0.270889624,88.94,0,0.00030439,0
0,87673.1,1,1,69,90,0,52.89,106,2,1,0.433473331,4714.57,0,0.0876731,0
0,276799.18,1,0,42,186,0,4.85,10,3,1,0.180178194,276799.18,86.5871939,0.27679918,0
0,258525.22,1,0,39,32,0,64.33,65,2,1,0.417582759,0,698.9105288,0.25852522,0
0,20059.73,138,0.282608696,41,32,0,1.28,82,1,19,0.264977844,437.35,82.48640275,0.02005973,0
0,488354.31,35,0.371428571,77,82,0,5.37,86,2,7,0.287062298,7672.49,78.92100981,0.48835431,0
1,803247.98,91,0.406593407,0,123,0,1.69,87,3,2,0.694246291,22176.68,585.8353792,0.80324798,0
0,3207567.38,56,0.339285714,62,90,0,3.45,121,1,5,0.131839051,191330.83,31.61874001,3.20756738,0
1,3225796.9,2,0,0,90,0,26.7,81,2,1,0.077329817,0,31757.70467,3.2257969,0
1,1726945.69,2,0,0,82,0,50.63,152,2,1,0.85565842,0,10855.97165,1.72694569,0
0,85146.26,140,0.3,46,125,0,1.34,85,2,90,0.421520249,1314.92,0.818983848,0.08514626,0
0,80.61,39,0.333333333,27,123,0,3.74,64,1,6,0.131371786,24.83,0.014485371,8.061e-05,0
0,21632.81,1,0,40,123,0,45.58,92,2,1,0.309301041,21632.81,46.11091188,0.02163281,0
0,12791.59,1,0,40,186,0,47.59,48,1,1,0.079357123,0,41.30516336,0.01279159,0
0,80.07,3,0.666666667,35,33,0,51.57,52,1,1,0.309102767,54.79,0.37042432,8.007e-05,0
0,650169.26,36,0.333333333,12,32,0,4.33,87,2,3,0.113873519,2588.04,8532.333651,0.65016926,0
1,151671.63,1,0,0,125,0,62.9,126,1,1,0.28130247,0,4.483931478,0.15167163,0
0,63641.45,2,1,47,32,0,25.39,51,2,1,0.166839859,760.95,0,0.06364145,0
0,1385421.39,4,0.25,44,90,0,18.44,56,1,2,0.56505753,4414.32,575.2359748,1.38542139,0
0,829681.88,39,0.205128205,26,82,0,4.93,109,2,1,0.234773443,52505.4,2400.516543,0.82968188,0
0,687292.21,4,0.25,30,125,0,31.52,127,2,1,0.08681413,3753.45,3360.423735,0.68729221,0
0,28063.42,5,0,49,125,0,21.31,43,4,1,0.3086614,28063.42,0.003865572,0.02806342,0
1,1970961.29,1,1,0,133,0,13.98,14,2,1,0.39896445,92073.77,0,1.97096129,0
0,391637.65,1,1,47,90,0,103.04,207,1,1,0.204774272,3144.71,0,0.39163765,0
0,1214107.77,10,0.3,30,123,0,18.63,75,2,1,0.059447119,1638.2,7746.68698,1.21410777,0
0,224586.45,1,1,62,90,0,44.67,90,5,1,0.238310034,11295.78,0,0.22458645,0
0,2715392.91,92,0.326086957,62,90,0,1.89,95,4,26,0.158046669,104638.75,4870.679389,2.71539291,0
0,394556.12,1,0,12,125,0,30.53,62,1,1,0.370599701,394556.12,1649.824408,0.39455612,0
0,5121.31,2,0.5,38,82,0,40.12,81,2,1,0.41823945,515.22,49.82995252,0.00512131,0
0,59488.78,1,0,51,123,0,67.54,136,2,1,0.258132343,0,394.8132437,0.05948878,0
0,101.76,1,0,56,123,0,126.53,254,1,1,0.643974684,101.76,0.002109628,0.00010176,0
0,185215.64,1,1,32,32,0,102.58,103,2,1,0.278037363,5317.41,0,0.18521564,0
1,26983.81,39,0.41025641,0,32,0,5.41,109,3,10,0.128533807,69.93,0.212980239,0.02698381,0
0,53360.19,3,0,65,82,0,78.34,236,4,1,0.148364625,0,25.77627769,0.05336019,0
0,299147.9,188,0.287234043,18,90,0,0.87,83,2,46,0.162944626,123.92,571.9319981,0.2991479,0
0,372988.95,2,0,74,32,0,78.25,79,2,1,0.303648858,372988.95,7445.505032,0.37298895,0
0,1075539.91,128,0.3671875,54,123,0,1.29,80,1,10,0.076641129,1194.44,3284.65426,1.07553991,0
0,2861258.45,6,0.166666667,46,82,0,19.51,79,1,1,0.434313005,2841,13381.78399,2.86125845,0
1,7797.17,31,0.387096774,0,82,0,4.7,99,3,4,0.864504038,1724.01,2.150301456,0.00779717,0
2,17272930.38,93,0.408602151,0,32,0,1.8,87,1,28,0.258058752,264228.74,77114.77355,17.27293038,0
2,59302860.61,3,0.666666667,0,82,0,55.35,167,3,2,0.139627274,1800288.92,65063.48529,59.30286061,0
0,332338.91,1,0,40,82,0,108.34,109,1,1,0.065195639,0,11765.88142,0.33233891,0
0,7116.38,1,0,51,123,0,67.42,68,2,1,0.073324037,0,50.689266,0.00711638,0
